Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
7.65456,-0.314189,0,7.66101,0.5,0,0
7.65625,-0.316219,0,7.66278,0.5,0,1
7.6533,-0.3125,0,7.65967,0.5,0,2
7.73328,-0.391719,0,7.7432,0.5,0,3
7.73438,-0.392422,0,7.74432,0.5,0,4
7.73205,-0.390625,0,7.74191,0.5,0,5
7.68886,-0.35313,0,7.69697,0.5,0,6
7.69043,-0.354556,0,7.6986,0.5,0,7
7.68739,-0.351562,0,7.69542,0.5,0,8
7.69382,-0.35794,0,7.70214,0.5,0,9
7.69531,-0.359249,0,7.70369,0.5,0,10
7.69238,-0.356445,0,7.70064,0.5,0,11
7.69148,-0.355396,0,7.69969,0.5,0,12
7.67012,-0.332808,0,7.67734,0.5,0,13
7.6709,-0.333505,0,7.67814,0.5,0,14
7.66964,-0.332031,0,7.67682,0.5,0,15
7.67464,-0.338057,0,7.68208,0.5,0,16
7.67578,-0.339146,0,7.68327,0.5,0,17
7.67382,-0.336914,0,7.68121,0.5,0,18
7.67251,-0.335299,0,7.67984,0.5,0,19
7.66565,-0.327516,0,7.67264,0.5,0,20
7.66602,-0.327795,0,7.67302,0.5,0,21
7.66546,-0.327148,0,7.67244,0.5,0,22
7.66345,-0.324828,0,7.67033,0.5,0,23
7.66126,-0.322266,0,7.66804,0.5,0,24
7.65896,-0.319551,0,7.66563,0.5,0,25
7.66113,-0.32211,0,7.6679,0.5,0,26
7.65719,-0.317383,0,7.66376,0.5,0,27
7.65686,-0.316775,0,7.66341,0.5,0,28
7.66123,-0.322173,0,7.668,0.5,0,29
7.66798,-0.330065,0,7.67508,0.5,0,30
7.67926,-0.343199,0,7.68693,0.5,0,31
7.68066,-0.344557,0,7.68839,0.5,0,32
7.67814,-0.341797,0,7.68575,0.5,0,33
7.684,-0.348224,0,7.69189,0.5,0,34
7.68555,-0.349698,0,7.6935,0.5,0,35
7.68265,-0.34668,0,7.69047,0.5,0,36
7.68178,-0.345568,0,7.68954,0.5,0,37
7.67711,-0.340472,0,7.68465,0.5,0,38
7.68656,-0.35055,0,7.69455,0.5,0,39
7.70896,-0.372092,0,7.71794,0.5,0,40
7.70996,-0.372788,0,7.71897,0.5,0,41
7.70806,-0.371094,0,7.71699,0.5,0,42
7.71421,-0.376611,0,7.7234,0.5,0,43
7.71484,-0.376972,0,7.72405,0.5,0,44
7.71366,-0.375977,0,7.72282,0.5,0,45
7.71169,-0.374247,0,7.72077,0.5,0,46
7.6988,-0.362719,0,7.70734,0.5,0,47
7.7002,-0.363884,0,7.70879,0.5,0,48
7.69749,-0.361328,0,7.70597,0.5,0,49
7.70385,-0.367434,0,7.71261,0.5,0,50
7.70508,-0.368392,0,7.71388,0.5,0,51
7.7027,-0.366211,0,7.7114,0.5,0,52
7.70148,-0.36493,0,7.71012,0.5,0,53
7.69647,-0.360174,0,7.70489,0.5,0,54
7.70655,-0.36962,0,7.71541,0.5,0,55
7.71963,-0.380955,0,7.72903,0.5,0,56
7.71973,-0.380992,0,7.72912,0.5,0,57
7.71956,-0.380859,0,7.72895,0.5,0,58
7.72235,-0.38312,0,7.73185,0.5,0,59
7.72461,-0.384914,0,7.73419,0.5,0,60
7.71696,-0.378747,0,7.72625,0.5,0,61
7.72781,-0.387427,0,7.73751,0.5,0,62
7.72949,-0.388667,0,7.73926,0.5,0,63
7.72568,-0.385742,0,7.73531,0.5,0,64
7.72516,-0.385191,0,7.73476,0.5,0,65
7.73068,-0.389438,0,7.74048,0.5,0,66
7.73875,-0.39602,0,7.74887,0.5,0,67
7.73926,-0.396275,0,7.7494,0.5,0,68
7.73829,-0.395508,0,7.74839,0.5,0,69
7.73613,-0.393751,0,7.74615,0.5,0,70
7.74154,-0.398107,0,7.75177,0.5,0,71
7.74414,-0.400146,0,7.75447,0.5,0,72
7.74703,-0.402382,0,7.75748,0.5,0,73
7.74902,-0.403874,0,7.75954,0.5,0,74
7.74446,-0.400391,0,7.7548,0.5,0,75
7.75261,-0.406567,0,7.76327,0.5,0,76
7.75391,-0.407367,0,7.7646,0.5,0,77
7.75096,-0.405273,0,7.76155,0.5,0,78
7.74992,-0.404381,0,7.76046,0.5,0,79
7.74432,-0.400215,0,7.75465,0.5,0,80
7.75839,-0.410554,0,7.76925,0.5,0,81
7.75879,-0.410709,0,7.76965,0.5,0,82
7.75797,-0.410156,0,7.76881,0.5,0,83
7.76134,-0.412489,0,7.77229,0.5,0,84
7.76367,-0.414072,0,7.77471,0.5,0,85
7.77323,-0.420125,0,7.78458,0.5,0,86
7.77344,-0.42019,0,7.78479,0.5,0,87
7.77301,-0.419922,0,7.78435,0.5,0,88
7.76724,-0.416358,0,7.77839,0.5,0,89
7.76855,-0.417106,0,7.77974,0.5,0,90
7.76522,-0.415039,0,7.77631,0.5,0,91
7.76434,-0.414369,0,7.77539,0.5,0,92
7.77029,-0.418191,0,7.78153,0.5,0,93
7.75557,-0.408494,0,7.76632,0.5,0,94
7.79159,-0.431069,0,7.8035,0.5,0,95
7.79297,-0.431788,0,7.80492,0.5,0,96
7.78911,-0.429688,0,7.80095,0.5,0,97
7.79474,-0.432799,0,7.80675,0.5,0,98
7.79785,-0.434561,0,7.80995,0.5,0,99
7.80101,-0.436293,0,7.8132,0.5,0,100
7.80273,-0.437213,0,7.81497,0.5,0,101
7.79787,-0.43457,0,7.80997,0.5,0,102
7.79786,-0.434563,0,7.80996,0.5,0,103
7.80742,-0.439655,0,7.81978,0.5,0,104
7.80762,-0.439706,0,7.81999,0.5,0,105
7.80712,-0.439453,0,7.81948,0.5,0,106
7.81065,-0.441304,0,7.82311,0.5,0,107
7.8125,-0.442256,0,7.82501,0.5,0,108
7.80422,-0.437964,0,7.8165,0.5,0,109
7.77624,-0.422004,0,7.78768,0.5,0,110
7.77832,-0.423325,0,7.78983,0.5,0,111
7.78231,-0.425701,0,7.79394,0.5,0,112
7.7832,-0.426107,0,7.79486,0.5,0,113
7.78091,-0.424805,0,7.7925,0.5,0,114
7.77932,-0.423809,0,7.79085,0.5,0,115
7.7854,-0.427487,0,7.79713,0.5,0,116
7.78809,-0.429129,0,7.7999,0.5,0,117
7.7885,-0.42927,0,7.80032,0.5,0,118
7.57724,-0.176667,0,7.5793,0.5,0,119
7.57812,-0.179278,0,7.58025,0.5,0,120
7.57697,-0.175781,0,7.57901,0.5,0,121
7.57589,-0.173136,0,7.57787,0.5,0,122
7.57499,-0.170898,0,7.57692,0.5,0,123
7.57455,-0.169594,0,7.57645,0.5,0,124
7.57335,-0.166016,0,7.57517,0.5,0,125
7.57217,-0.162203,0,7.57391,0.5,0,126
7.57324,-0.165678,0,7.57505,0.5,0,127
7.57185,-0.161133,0,7.57356,0.5,0,128
7.57091,-0.158583,0,7.57257,0.5,0,129
7.57006,-0.15625,0,7.57167,0.5,0,130
7.57333,-0.165925,0,7.57515,0.5,0,131
7.61702,-0.258957,0,7.62142,0.5,0,132
7.61719,-0.259181,0,7.6216,0.5,0,133
7.61698,-0.258789,0,7.62137,0.5,0,134
7.61527,-0.25582,0,7.61957,0.5,0,135
7.61415,-0.253906,0,7.61839,0.5,0,136
7.60631,-0.240366,0,7.61011,0.5,0,137
7.60742,-0.242273,0,7.61128,0.5,0,138
7.60578,-0.239258,0,7.60954,0.5,0,139
7.60456,-0.237233,0,7.60826,0.5,0,140
7.6029,-0.234375,0,7.60651,0.5,0,141
7.61171,-0.249617,0,7.6158,0.5,0,142
7.6123,-0.250516,0,7.61643,0.5,0,143
7.61149,-0.249023,0,7.61556,0.5,0,144
7.60993,-0.246519,0,7.61392,0.5,0,145
7.60844,-0.244141,0,7.61236,0.5,0,146
7.61354,-0.252671,0,7.61773,0.5,0,147
7.60814,-0.243418,0,7.61204,0.5,0,148
7.62582,-0.274573,0,7.63076,0.5,0,149
7.62695,-0.276353,0,7.63196,0.5,0,150
7.62524,-0.273438,0,7.63014,0.5,0,151
7.6316,-0.283437,0,7.63686,0.5,0,152
7.63184,-0.283659,0,7.63711,0.5,0,153
7.63152,-0.283203,0,7.63677,0.5,0,154
7.63563,-0.289178,0,7.6411,0.5,0,155
7.63672,-0.290475,0,7.64224,0.5,0,156
7.63498,-0.288086,0,7.64041,0.5,0,157
7.63367,-0.286256,0,7.63903,0.5,0,158
7.62962,-0.280535,0,7.63478,0.5,0,159
7.62813,-0.27832,0,7.6332,0.5,0,160
7.62775,-0.277522,0,7.6328,0.5,0,161
7.64607,-0.303145,0,7.65208,0.5,0,162
7.64648,-0.30352,0,7.65251,0.5,0,163
7.64589,-0.302734,0,7.65188,0.5,0,164
7.63983,-0.294738,0,7.64552,0.5,0,165
7.6416,-0.297096,0,7.64737,0.5,0,166
7.63855,-0.292969,0,7.64416,0.5,0,167
7.64403,-0.300304,0,7.64993,0.5,0,168
7.64216,-0.297852,0,7.64796,0.5,0,169
7.64199,-0.297463,0,7.64778,0.5,0,170
7.65027,-0.308712,0,7.6565,0.5,0,171
7.65137,-0.309972,0,7.65764,0.5,0,172
7.64959,-0.307617,0,7.65577,0.5,0,173
7.64827,-0.305835,0,7.65438,0.5,0,174
7.65253,-0.311338,0,7.65886,0.5,0,175
7.63785,-0.291838,0,7.64342,0.5,0,176
7.62047,-0.26527,0,7.62509,0.5,0,177
7.62207,-0.268162,0,7.62679,0.5,0,178
7.61962,-0.263672,0,7.62418,0.5,0,179
7.62403,-0.271477,0,7.62886,0.5,0,180
7.62229,-0.268555,0,7.62702,0.5,0,181
7.62224,-0.268385,0,7.62696,0.5,0,182
7.61877,-0.262087,0,7.62328,0.5,0,183
7.59624,-0.221144,0,7.59946,0.5,0,184
7.59766,-0.224176,0,7.60096,0.5,0,185
7.5956,-0.219727,0,7.59878,0.5,0,186
7.59466,-0.217844,0,7.59778,0.5,0,187
7.59318,-0.214844,0,7.59622,0.5,0,188
7.58711,-0.200977,0,7.58977,0.5,0,189
7.58789,-0.202887,0,7.5906,0.5,0,190
7.58685,-0.200195,0,7.58949,0.5,0,191
7.58561,-0.197594,0,7.58818,0.5,0,192
7.58453,-0.195312,0,7.58705,0.5,0,193
7.59161,-0.211128,0,7.59454,0.5,0,194
7.59277,-0.213877,0,7.59579,0.5,0,195
7.59114,-0.209961,0,7.59404,0.5,0,196
7.59006,-0.207788,0,7.59291,0.5,0,197
7.58874,-0.205078,0,7.59151,0.5,0,198
7.5931,-0.214521,0,7.59613,0.5,0,199
7.58854,-0.204431,0,7.59129,0.5,0,200
7.60111,-0.23092,0,7.60462,0.5,0,201
7.60254,-0.233675,0,7.60613,0.5,0,202
7.60041,-0.229492,0,7.60388,0.5,0,203
7.59946,-0.227693,0,7.60287,0.5,0,204
7.59786,-0.224609,0,7.60118,0.5,0,205
7.60282,-0.234096,0,7.60642,0.5,0,206
7.59782,-0.224446,0,7.60113,0.5,0,207
7.58273,-0.19071,0,7.58513,0.5,0,208
7.58301,-0.191326,0,7.58542,0.5,0,209
7.58267,-0.19043,0,7.58506,0.5,0,210
7.58132,-0.18724,0,7.58363,0.5,0,211
7.58061,-0.185547,0,7.58288,0.5,0,212
7.58412,-0.1942,0,7.58661,0.5,0,213
7.57988,-0.183797,0,7.5821,0.5,0,214
7.57859,-0.180664,0,7.58074,0.5,0,215
7.5785,-0.180289,0,7.58064,0.5,0,216
7.56743,-0.147411,0,7.56887,0.5,0,217
7.56836,-0.150751,0,7.56986,0.5,0,218
7.56718,-0.146484,0,7.5686,0.5,0,219
7.56625,-0.143713,0,7.56761,0.5,0,220
7.56555,-0.141602,0,7.56687,0.5,0,221
7.56506,-0.14002,0,7.56635,0.5,0,222
7.56405,-0.136719,0,7.56529,0.5,0,223
7.56965,-0.154959,0,7.57124,0.5,0,224
7.56853,-0.151367,0,7.57004,0.5,0,225
7.56851,-0.151219,0,7.57002,0.5,0,226
7.56302,-0.132295,0,7.56417,0.5,0,227
7.56348,-0.134208,0,7.56467,0.5,0,228
7.56293,-0.131836,0,7.56408,0.5,0,229
7.56199,-0.128442,0,7.56308,0.5,0,230
7.56158,-0.126953,0,7.56265,0.5,0,231
7.56396,-0.136235,0,7.56519,0.5,0,232
7.56094,-0.12461,0,7.56196,0.5,0,233
7.56025,-0.12207,0,7.56124,0.5,0,234
7.55992,-0.120746,0,7.56088,0.5,0,235
7.55904,-0.117188,0,7.55995,0.5,0,236
7.55819,-0.112711,0,7.55903,0.5,0,237
7.55859,-0.114801,0,7.55947,0.5,0,238
7.55813,-0.112305,0,7.55896,0.5,0,239
7.5573,-0.108719,0,7.55808,0.5,0,240
7.557,-0.107422,0,7.55777,0.5,0,241
7.55639,-0.104744,0,7.55711,0.5,0,242
7.55589,-0.102539,0,7.55659,0.5,0,243
7.5555,-0.100746,0,7.55618,0.5,0,244
7.55485,-0.0976562,0,7.55548,0.5,0,245
7.55327,-0.088329,0,7.55379,0.5,0,246
7.55371,-0.0912649,0,7.55426,0.5,0,247
7.55321,-0.0878906,0,7.55373,0.5,0,248
7.55467,-0.0967015,0,7.55528,0.5,0,249
7.55393,-0.0927734,0,7.5545,0.5,0,250
7.55391,-0.0925717,0,7.55448,0.5,0,251
7.55254,-0.0841801,0,7.55301,0.5,0,252
7.55233,-0.0830078,0,7.55279,0.5,0,253
7.55181,-0.0800253,0,7.55223,0.5,0,254
7.55149,-0.078125,0,7.55189,0.5,0,255
7.55898,-0.116799,0,7.55988,0.5,0,256
7.54879,-0.0586271,0,7.54902,0.5,0,257
7.54883,-0.0589291,0,7.54906,0.5,0,258
7.54879,-0.0585938,0,7.54902,0.5,0,259
7.55112,-0.0758381,0,7.5515,0.5,0,260
7.5507,-0.0732422,0,7.55106,0.5,0,261
7.55046,-0.0716146,0,7.5508,0.5,0,262
7.54997,-0.0683594,0,7.55028,0.5,0,263
7.54983,-0.067354,0,7.55013,0.5,0,264
7.5493,-0.0634766,0,7.54957,0.5,0,265
7.54926,-0.0630472,0,7.54952,0.5,0,266
7.54834,-0.0542037,0,7.54853,0.5,0,267
7.54829,-0.0537109,0,7.54848,0.5,0,268
7.54785,-0.0498071,0,7.54801,0.5,0,269
7.54774,-0.0488281,0,7.5479,0.5,0,270
7.54739,-0.0453786,0,7.54753,0.5,0,271
7.54726,-0.0439453,0,7.54738,0.5,0,272
7.54698,-0.0409079,0,7.54709,0.5,0,273
7.54682,-0.0390625,0,7.54693,0.5,0,274
7.54661,-0.0363934,0,7.5467,0.5,0,275
7.54645,-0.0341797,0,7.54653,0.5,0,276
7.54629,-0.0318335,0,7.54636,0.5,0,277
7.54613,-0.0292969,0,7.54619,0.5,0,278
7.54602,-0.027227,0,7.54606,0.5,0,279
7.54587,-0.0244141,0,7.54591,0.5,0,280
7.54579,-0.022573,0,7.54582,0.5,0,281
7.54566,-0.0195312,0,7.54569,0.5,0,282
7.54561,-0.0178712,0,7.54563,0.5,0,283
7.54551,-0.0146484,0,7.54552,0.5,0,284
7.54547,-0.0131227,0,7.54548,0.5,0,285
7.5454,-0.00976562,0,7.54541,0.5,0,286
7.54538,-0.00832899,0,7.54539,0.5,0,287
7.54534,-0.00488281,0,7.54535,0.5,0,288
7.54534,-0.00349095,0,7.54534,0.5,0,289
7.54533,0,0,7.54533,0.5,0,290
7.88005,-0.46956,0,7.89403,0.5,0,291
7.88086,-0.469758,0,7.89485,0.5,0,292
7.87704,-0.46875,0,7.89097,0.5,0,293
7.8838,-0.470688,0,7.89784,0.5,0,294
7.88574,-0.471282,0,7.89981,0.5,0,295
7.88756,-0.471817,0,7.90166,0.5,0,296
7.89062,-0.472702,0,7.90477,0.5,0,297
7.89536,-0.473777,0,7.90957,0.5,0,298
7.89551,-0.473794,0,7.90971,0.5,0,299
7.89479,-0.473633,0,7.90898,0.5,0,300
7.89139,-0.472868,0,7.90554,0.5,0,301
7.89934,-0.474688,0,7.91359,0.5,0,302
7.90039,-0.474929,0,7.91465,0.5,0,303
7.90325,-0.475658,0,7.91755,0.5,0,304
7.90527,-0.476168,0,7.9196,0.5,0,305
7.90716,-0.476634,0,7.92151,0.5,0,306
7.91016,-0.477371,0,7.92455,0.5,0,307
7.91927,-0.479171,0,7.93375,0.5,0,308
7.91992,-0.479287,0,7.93441,0.5,0,309
7.9157,-0.478516,0,7.93015,0.5,0,310
7.9111,-0.477571,0,7.9255,0.5,0,311
7.91504,-0.478395,0,7.92948,0.5,0,312
7.91515,-0.478406,0,7.92959,0.5,0,313
7.92329,-0.480034,0,7.93781,0.5,0,314
7.9248,-0.480365,0,7.93935,0.5,0,315
7.92731,-0.480897,0,7.94188,0.5,0,316
7.92969,-0.481392,0,7.94429,0.5,0,317
7.93136,-0.481726,0,7.94598,0.5,0,318
7.93457,-0.482347,0,7.94922,0.5,0,319
7.93547,-0.482501,0,7.95012,0.5,0,320
7.93945,-0.483161,0,7.95414,0.5,0,321
7.944,-0.483731,0,7.95872,0.5,0,322
7.94434,-0.483766,0,7.95905,0.5,0,323
7.94136,-0.483398,0,7.95606,0.5,0,324
7.93967,-0.483182,0,7.95436,0.5,0,325
7.94829,-0.48433,0,7.96303,0.5,0,326
7.94922,-0.484456,0,7.96397,0.5,0,327
7.95262,-0.484881,0,7.96739,0.5,0,328
7.9541,-0.485053,0,7.96888,0.5,0,329
7.95703,-0.485351,0,7.97182,0.5,0,330
7.95898,-0.485535,0,7.97378,0.5,0,331
7.96152,-0.485742,0,7.97633,0.5,0,332
7.96387,-0.485918,0,7.97868,0.5,0,333
7.96609,-0.486063,0,7.9809,0.5,0,334
7.96875,-0.486226,0,7.98357,0.5,0,335
7.82711,-0.449259,0,7.83999,0.5,0,336
7.82715,-0.449266,0,7.84003,0.5,0,337
7.82705,-0.449219,0,7.83993,0.5,0,338
7.83047,-0.45078,0,7.84343,0.5,0,339
7.83203,-0.451475,0,7.84503,0.5,0,340
7.81719,-0.444532,0,7.82982,0.5,0,341
7.81738,-0.444578,0,7.83001,0.5,0,342
7.81687,-0.444336,0,7.82949,0.5,0,343
7.81392,-0.442918,0,7.82646,0.5,0,344
7.82048,-0.446125,0,7.83319,0.5,0,345
7.82227,-0.447001,0,7.83503,0.5,0,346
7.82378,-0.447702,0,7.83658,0.5,0,347
7.83382,-0.452311,0,7.84687,0.5,0,348
7.83691,-0.453728,0,7.85004,0.5,0,349
7.84068,-0.455217,0,7.85389,0.5,0,350
7.8418,-0.455632,0,7.85502,0.5,0,351
7.83787,-0.454102,0,7.85101,0.5,0,352
7.83722,-0.453799,0,7.85034,0.5,0,353
7.85105,-0.459499,0,7.86448,0.5,0,354
7.85156,-0.45963,0,7.865,0.5,0,355
7.84975,-0.458984,0,7.86315,0.5,0,356
7.84408,-0.4567,0,7.85737,0.5,0,357
7.84668,-0.457889,0,7.86003,0.5,0,358
7.84751,-0.458152,0,7.86087,0.5,0,359
7.85456,-0.460873,0,7.86807,0.5,0,360
7.85645,-0.461637,0,7.87,0.5,0,361
7.85806,-0.462257,0,7.87164,0.5,0,362
7.86133,-0.463496,0,7.87498,0.5,0,363
7.86531,-0.464768,0,7.87903,0.5,0,364
7.86621,-0.465032,0,7.87994,0.5,0,365
7.8625,-0.463867,0,7.87618,0.5,0,366
7.86164,-0.463559,0,7.87529,0.5,0,367
7.8689,-0.466063,0,7.88269,0.5,0,368
7.87109,-0.466883,0,7.88493,0.5,0,369
7.8725,-0.467346,0,7.88636,0.5,0,370
7.87598,-0.468468,0,7.8899,0.5,0,371
7.87622,-0.468508,0,7.89014,0.5,0,372
7.9707,-0.486333,0,7.98552,0.5,0,373
7.97363,-0.486486,0,7.98846,0.5,0,374
7.97535,-0.486568,0,7.99017,0.5,0,375
7.97852,-0.486717,0,7.99335,0.5,0,376
7.98001,-0.486784,0,7.99485,0.5,0,377
7.9834,-0.486933,0,7.99823,0.5,0,378
7.98469,-0.486989,0,7.99953,0.5,0,379
7.98828,-0.487142,0,8.00312,0.5,0,380
7.98938,-0.487187,0,8.00422,0.5,0,381
7.99316,-0.487341,0,8.00801,0.5,0,382
7.99407,-0.487377,0,8.00891,0.5,0,383
7.99805,-0.487529,0,8.01289,0.5,0,384
7.99877,-0.487556,0,8.01362,0.5,0,385
8.00293,-0.487703,0,8.01778,0.5,0,386
8.00349,-0.487721,0,8.01834,0.5,0,387
8.00781,-0.487859,0,8.02266,0.5,0,388
8.00822,-0.487872,0,8.02307,0.5,0,389
8.0127,-0.487999,0,8.02754,0.5,0,390
8.01297,-0.488006,0,8.02782,0.5,0,391
8.01758,-0.488118,0,8.03242,0.5,0,392
8.01774,-0.488122,0,8.03258,0.5,0,393
8.02246,-0.488215,0,8.0373,0.5,0,394
8.02253,-0.488216,0,8.03737,0.5,0,395
8.02734,-0.48828,0,8.04218,0.5,0,396
8.03218,-0.488326,0,8.04701,0.5,0,397
8.03223,-0.488326,0,8.04706,0.5,0,398
8.02752,-0.488281,0,8.04236,0.5,0,399
8.03703,-0.488363,0,8.05185,0.5,0,400
8.03711,-0.488363,0,8.05193,0.5,0,401
8.04189,-0.48838,0,8.05671,0.5,0,402
8.04199,-0.488381,0,8.05681,0.5,0,403
8.04678,-0.488378,0,8.06159,0.5,0,404
8.04688,-0.488377,0,8.06168,0.5,0,405
8.02735,-0.48828,0,8.04218,0.5,0,406
8.05169,-0.488345,0,8.06649,0.5,0,407
8.05176,-0.488344,0,8.06655,0.5,0,408
8.05478,-0.488281,0,8.06957,0.5,0,409
8.05664,-0.488242,0,8.07142,0.5,0,410
8.05668,-0.488241,0,8.07146,0.5,0,411
8.06152,-0.488083,0,8.07629,0.5,0,412
8.06173,-0.488075,0,8.07649,0.5,0,413
8.06641,-0.487875,0,8.08115,0.5,0,414
8.06683,-0.487853,0,8.08157,0.5,0,415
8.07129,-0.487612,0,8.086,0.5,0,416
8.072,-0.48757,0,8.08671,0.5,0,417
8.07617,-0.48731,0,8.09086,0.5,0,418
8.07721,-0.487242,0,8.09189,0.5,0,419
8.08105,-0.486986,0,8.09571,0.5,0,420
8.08244,-0.486894,0,8.09709,0.5,0,421
8.08594,-0.486664,0,8.10057,0.5,0,422
8.08766,-0.486555,0,8.10229,0.5,0,423
8.09082,-0.486362,0,8.10543,0.5,0,424
8.09285,-0.486247,0,8.10745,0.5,0,425
8.0957,-0.486092,0,8.11028,0.5,0,426
8.09801,-0.485977,0,8.11258,0.5,0,427
8.10059,-0.485853,0,8.11514,0.5,0,428
8.10313,-0.485739,0,8.11767,0.5,0,429
8.10547,-0.485636,0,8.12,0.5,0,430
8.10823,-0.48552,0,8.12275,0.5,0,431
8.11035,-0.485433,0,8.12487,0.5,0,432
8.11332,-0.485315,0,8.12782,0.5,0,433
8.11523,-0.485242,0,8.12973,0.5,0,434
8.11838,-0.485131,0,8.13287,0.5,0,435
8.12012,-0.485074,0,8.13459,0.5,0,436
8.12342,-0.484979,0,8.13788,0.5,0,437
8.125,-0.484938,0,8.13946,0.5,0,438
8.12842,-0.484861,0,8.14287,0.5,0,439
8.12988,-0.48483,0,8.14433,0.5,0,440
8.1334,-0.484766,0,8.14783,0.5,0,441
8.13477,-0.484742,0,8.1492,0.5,0,442
8.13836,-0.484686,0,8.15278,0.5,0,443
8.13965,-0.484666,0,8.15407,0.5,0,444
8.14331,-0.48462,0,8.15772,0.5,0,445
8.14453,-0.484607,0,8.15894,0.5,0,446
8.14823,-0.484581,0,8.16263,0.5,0,447
8.14941,-0.484576,0,8.16381,0.5,0,448
8.15312,-0.484574,0,8.16751,0.5,0,449
